Params: ['300', '40', '0.9', '0.5', '1.0', '0.05'], mean: 12.656196794906698, std: 4.096253706414338
Params: ['300', '40', '0.9', '0.7', '0.01', '0.0005'], mean: 10.047296622573143, std: 3.347611361631815
Params: ['300', '40', '0.9', '0.7', '0.01', '0.005'], mean: 8.46633252252991, std: 2.5567111943469523
Params: ['300', '40', '0.9', '0.7', '0.01', '0.05'], mean: 10.796580287316244, std: 4.147204759782319
Params: ['300', '40', '0.9', '0.7', '0.1', '0.0005'], mean: 11.346763166099064, std: 5.527340511051295
Params: ['300', '40', '0.9', '0.7', '0.1', '0.005'], mean: 11.378556616375551, std: 3.390906558785021
Params: ['300', '40', '0.9', '0.7', '0.1', '0.05'], mean: 12.422800516152655, std: 5.619145616276333
Params: ['300', '40', '0.9', '0.7', '1.0', '0.0005'], mean: 11.070789698820013, std: 3.9194056622324247
Params: ['300', '40', '0.9', '0.7', '1.0', '0.005'], mean: 12.45458573321275, std: 3.0370397734764745
Params: ['300', '40', '0.9', '0.7', '1.0', '0.05'], mean: 12.356334449828255, std: 5.158386558309691
Params: ['300', '60', '0.7', '0.3', '0.01', '0.0005'], mean: 46.675085577476054, std: 16.169910859918758
Params: ['300', '60', '0.7', '0.3', '0.01', '0.005'], mean: 46.24088802207888, std: 27.365000278656648
Params: ['300', '60', '0.7', '0.3', '0.01', '0.05'], mean: 57.57474445422808, std: 27.447631878294455
Params: ['300', '60', '0.7', '0.3', '0.1', '0.0005'], mean: 48.32263780877596, std: 33.676016422820915
Params: ['300', '60', '0.7', '0.3', '0.1', '0.005'], mean: 49.971661494470105, std: 42.48472441433618
Params: ['300', '60', '0.7', '0.3', '0.1', '0.05'], mean: 53.3185653405023, std: 48.78802079572062
Params: ['300', '60', '0.7', '0.3', '1.0', '0.0005'], mean: 59.23657673777318, std: 38.02198910721124
Params: ['300', '60', '0.7', '0.3', '1.0', '0.005'], mean: 54.740865465641114, std: 21.931102271373916
Params: ['300', '60', '0.7', '0.3', '1.0', '0.05'], mean: 30.584776773897765, std: 11.739555438437806
Params: ['300', '60', '0.7', '0.5', '0.01', '0.0005'], mean: 40.450631425356534, std: 16.040556556508918
Params: ['300', '60', '0.7', '0.5', '0.01', '0.005'], mean: 61.435764445950824, std: 37.16939149169017
Params: ['300', '60', '0.7', '0.5', '0.01', '0.05'], mean: 37.63859536884719, std: 18.64091039731685
Params: ['300', '60', '0.7', '0.5', '0.1', '0.0005'], mean: 57.55269057511273, std: 24.39156034803727
Params: ['300', '60', '0.7', '0.5', '0.1', '0.005'], mean: 51.38079928837626, std: 30.787084018846375
Params: ['300', '60', '0.7', '0.5', '0.1', '0.05'], mean: 55.939709911711894, std: 28.2183774009186
Params: ['300', '60', '0.7', '0.5', '1.0', '0.0005'], mean: 53.0490525251367, std: 52.013912279336694
Params: ['300', '60', '0.7', '0.5', '1.0', '0.005'], mean: 40.202026823997855, std: 19.981525124992338
Params: ['300', '60', '0.7', '0.5', '1.0', '0.05'], mean: 38.82441417944163, std: 20.114304562256155
Params: ['300', '60', '0.7', '0.7', '0.01', '0.0005'], mean: 45.88218054672628, std: 16.076269176443525
Params: ['300', '60', '0.7', '0.7', '0.01', '0.005'], mean: 40.917312443018304, std: 21.252788473527524
Params: ['300', '60', '0.7', '0.7', '0.01', '0.05'], mean: 44.184894199242095, std: 23.08071533655947
Params: ['300', '60', '0.7', '0.7', '0.1', '0.0005'], mean: 50.93489931157767, std: 29.306895370582264
Params: ['300', '60', '0.7', '0.7', '0.1', '0.005'], mean: 47.84531724379505, std: 21.740234660780644
Params: ['300', '60', '0.7', '0.7', '0.1', '0.05'], mean: 62.58593039500196, std: 33.51411619818925
Params: ['300', '60', '0.7', '0.7', '1.0', '0.0005'], mean: 34.35699199388971, std: 16.545311128412347
Params: ['300', '60', '0.7', '0.7', '1.0', '0.005'], mean: 50.468180778508916, std: 32.55850289154228
Params: ['300', '60', '0.7', '0.7', '1.0', '0.05'], mean: 47.678968833313, std: 26.755034907591366
Params: ['300', '60', '0.8', '0.3', '0.01', '0.0005'], mean: 29.504940688464394, std: 11.998064287102498
Params: ['300', '60', '0.8', '0.3', '0.01', '0.005'], mean: 26.37782218252542, std: 9.534828681829792
Params: ['300', '60', '0.8', '0.3', '0.01', '0.05'], mean: 25.561697623258745, std: 10.10347775003698
Params: ['300', '60', '0.8', '0.3', '0.1', '0.0005'], mean: 28.37142708491201, std: 13.905728267106346
Params: ['300', '60', '0.8', '0.3', '0.1', '0.005'], mean: 27.943680647344898, std: 13.276909531075574
Params: ['300', '60', '0.8', '0.3', '0.1', '0.05'], mean: 33.673602380076396, std: 11.513215110141251
Params: ['300', '60', '0.8', '0.3', '1.0', '0.0005'], mean: 28.32168303213378, std: 7.45703432579607
Params: ['300', '60', '0.8', '0.3', '1.0', '0.005'], mean: 26.45145141134488, std: 11.077984360143518
Params: ['300', '60', '0.8', '0.3', '1.0', '0.05'], mean: 36.39181962977103, std: 7.341475296201302
Params: ['300', '60', '0.8', '0.5', '0.01', '0.0005'], mean: 27.033550127274356, std: 7.6631102136600715
Params: ['300', '60', '0.8', '0.5', '0.01', '0.005'], mean: 24.70364232410676, std: 8.154235987329113
Params: ['300', '60', '0.8', '0.5', '0.01', '0.05'], mean: 26.140168876703978, std: 11.064141376965381
Params: ['300', '60', '0.8', '0.5', '0.1', '0.0005'], mean: 30.199746641157315, std: 10.767998956756228
Params: ['300', '60', '0.8', '0.5', '0.1', '0.005'], mean: 27.197528157172986, std: 11.620668592845318
Params: ['300', '60', '0.8', '0.5', '0.1', '0.05'], mean: 29.789690929019713, std: 17.049623293237268
Params: ['300', '60', '0.8', '0.5', '1.0', '0.0005'], mean: 25.180447723134428, std: 9.97189302996702
Params: ['300', '60', '0.8', '0.5', '1.0', '0.005'], mean: 23.568804640027018, std: 6.989452545961903
Params: ['300', '60', '0.8', '0.5', '1.0', '0.05'], mean: 27.5384062683763, std: 9.053185025426572
Params: ['300', '60', '0.8', '0.7', '0.01', '0.0005'], mean: 32.64489738519335, std: 10.970882965696594
Params: ['300', '60', '0.8', '0.7', '0.01', '0.005'], mean: 25.987319664554157, std: 13.082120677041233
Params: ['300', '60', '0.8', '0.7', '0.01', '0.05'], mean: 27.06103515936274, std: 6.312976636977243
Params: ['300', '60', '0.8', '0.7', '0.1', '0.0005'], mean: 26.793121318975643, std: 6.303569404846618
Params: ['300', '60', '0.8', '0.7', '0.1', '0.005'], mean: 24.950828087955877, std: 11.05100515923719
Params: ['300', '60', '0.8', '0.7', '0.1', '0.05'], mean: 27.829102441414953, std: 9.189702679437193
Params: ['300', '60', '0.8', '0.7', '1.0', '0.0005'], mean: 25.163594664139374, std: 14.619969638780235
Params: ['300', '60', '0.8', '0.7', '1.0', '0.005'], mean: 29.84560117604108, std: 10.228621938556747
Params: ['300', '60', '0.8', '0.7', '1.0', '0.05'], mean: 18.32584422380079, std: 6.271600670693627
Params: ['300', '60', '0.9', '0.3', '0.01', '0.0005'], mean: 13.78306541424993, std: 3.796586722952508
Params: ['300', '60', '0.9', '0.3', '0.01', '0.005'], mean: 11.764018259954318, std: 4.845030106913733
Params: ['300', '60', '0.9', '0.3', '0.01', '0.05'], mean: 13.278884533502843, std: 5.912549355899441
Params: ['300', '60', '0.9', '0.3', '0.1', '0.0005'], mean: 15.677443682908887, std: 6.621293355249477
Params: ['300', '60', '0.9', '0.3', '0.1', '0.005'], mean: 11.970718970186596, std: 5.158281178457455
Params: ['300', '60', '0.9', '0.3', '0.1', '0.05'], mean: 15.975982976643518, std: 3.5816585780177093
Params: ['300', '60', '0.9', '0.3', '1.0', '0.0005'], mean: 15.870290085223036, std: 7.187497705147594
Params: ['300', '60', '0.9', '0.3', '1.0', '0.005'], mean: 13.099085607829476, std: 5.792266546361956
Params: ['300', '60', '0.9', '0.3', '1.0', '0.05'], mean: 12.1938859417787, std: 2.772225139706687
Params: ['300', '60', '0.9', '0.5', '0.01', '0.0005'], mean: 11.323017772255035, std: 4.196553635307902
Params: ['300', '60', '0.9', '0.5', '0.01', '0.005'], mean: 13.24451349734316, std: 3.9199272371937233
Params: ['300', '60', '0.9', '0.5', '0.01', '0.05'], mean: 14.906814163763617, std: 3.6008683438523548
Params: ['300', '60', '0.9', '0.5', '0.1', '0.0005'], mean: 16.03258263971327, std: 6.765280952218825
Params: ['300', '60', '0.9', '0.5', '0.1', '0.005'], mean: 12.679694626953781, std: 5.007549712768647
Params: ['300', '60', '0.9', '0.5', '0.1', '0.05'], mean: 12.077131400462964, std: 2.739490530021769
Params: ['300', '60', '0.9', '0.5', '1.0', '0.0005'], mean: 12.575794834120751, std: 3.785725815514737
Params: ['300', '60', '0.9', '0.5', '1.0', '0.005'], mean: 13.6477648089012, std: 4.394286325093291
Params: ['300', '60', '0.9', '0.5', '1.0', '0.05'], mean: 12.514516173370506, std: 3.8129408355542966
Params: ['300', '60', '0.9', '0.7', '0.01', '0.0005'], mean: 13.727441108694814, std: 4.993151859067041
Params: ['300', '60', '0.9', '0.7', '0.01', '0.005'], mean: 14.361433109967724, std: 4.324990730302016
Params: ['300', '60', '0.9', '0.7', '0.01', '0.05'], mean: 14.71928816937475, std: 4.816552349885643
Params: ['300', '60', '0.9', '0.7', '0.1', '0.0005'], mean: 15.16874038774093, std: 6.304842761139393
Params: ['300', '60', '0.9', '0.7', '0.1', '0.005'], mean: 13.132367842951947, std: 4.053018290493689
Params: ['300', '60', '0.9', '0.7', '0.1', '0.05'], mean: 13.467746332860383, std: 2.539933755287143
Params: ['300', '60', '0.9', '0.7', '1.0', '0.0005'], mean: 12.487435688968995, std: 2.8795274007395273
Params: ['300', '60', '0.9', '0.7', '1.0', '0.005'], mean: 13.497883565234877, std: 3.8092546625575445
Params: ['300', '60', '0.9', '0.7', '1.0', '0.05'], mean: 14.657451203838866, std: 5.071817221661795
Params: ['500', '20', '0.7', '0.3', '0.01', '0.0005'], mean: 20.226493348156577, std: 9.976406508919043
Params: ['500', '20', '0.7', '0.3', '0.01', '0.005'], mean: 23.40156451737256, std: 12.186344426828963
Params: ['500', '20', '0.7', '0.3', '0.01', '0.05'], mean: 27.97528495313466, std: 8.520411485515115
Params: ['500', '20', '0.7', '0.3', '0.1', '0.0005'], mean: 24.8964440947369, std: 11.29431016309612
Params: ['500', '20', '0.7', '0.3', '0.1', '0.005'], mean: 20.651897177138533, std: 10.5415866808145
Params: ['500', '20', '0.7', '0.3', '0.1', '0.05'], mean: 26.703665328075367, std: 18.820161099814452
Params: ['500', '20', '0.7', '0.3', '1.0', '0.0005'], mean: 29.61805652776178, std: 10.736883818894796
